"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6"
"*txt_1055";-0,416;2,262;-0,46;1,136;-0,388;-0,346
"*txt_1011";-3,573;13,325;-0,419;-0,017;-0,166;-0,063
"*txt_1051";-0,627;7,254;-0,693;-0,761;0,67;-0,522
"*txt_1078";19,815;-0,645;-0,928;-1,02;-0,783;-0,699
"*txt_1033";-0,416;2,262;-0,46;1,136;-0,388;-0,346
"*txt_1056";9,669;-0,645;0,113;-1,02;-0,783;-0,699
"*txt_1031";-0,207;-0,159;-0,229;4,02;-0,193;-0,172
"*txt_1073";-0,627;0,999;0,441;0,338;-0,584;-0,522
"*txt_1076";5,289;-0,482;0,441;-0,761;-0,584;-0,522
"*txt_1217";-0,416;-0,32;-0,46;8,079;-0,388;-0,346
"*txt_1107";-0,84;13,017;-0,928;0,064;-0,783;-0,699
"*txt_1044";-0,416;-0,32;-0,46;8,079;-0,388;-0,346
"*txt_1077";-1,492;-1,146;2,839;6,249;-1,391;-1,242
"*txt_1083";0;0;0;0;0;0
"*txt_1119";-0,627;0,999;4,671;-0,761;-0,584;-0,522
"*gr_01";0;0;0;0;0;0
"*txt_1312";-0,416;-0,32;-0,46;8,079;-0,388;-0,346
"*txt_1161";0,569;-0,482;-0,693;0,338;0,67;-0,522
"*txt_1162";-0,627;-0,482;4,671;-0,761;0,67;-0,522
"*txt_1084";0;0;0;0;0;0
"*txt_1160";14,788;-0,482;-0,693;-0,761;-0,584;-0,522
"*txt_1125";-0,627;-0,482;0,441;-0,761;0,67;0,852
"*txt_1102";-1,055;0,175;-1,166;1,281;-0,983;2,64
"*txt_1085";4,881;-0,159;-0,229;-0,251;-0,193;-0,172
"*txt_1003";-0,416;-0,32;8,876;-0,505;-0,388;-0,346
"*txt_1262";20,8;-1,663;-2,392;0;-0,289;-1,802
"*txt_1265";-1,055;32,397;-1,166;-1,281;-0,983;-0,879
"*txt_1069";-0,627;-0,482;-0,693;4,144;0,67;-0,522
"*txt_1244";0,569;-0,482;-0,693;0,338;-0,584;0,852
"*txt_1027";-0,207;-0,159;-0,229;-0,251;5,238;-0,172
"*txt_1246";-0,207;6,352;-0,229;-0,251;-0,193;-0,172
"*txt_1021";40,435;-1,317;-1,894;-2,081;-1,597;-1,427
"*txt_1023";-1,055;-0,811;5,835;-1,281;2,168;-0,879
"*txt_1147";-2,164;-1,663;11,969;-2,628;4,447;-1,802
"*txt_1046";-1,714;-1,317;36,586;-2,081;-1,597;-1,427
"*txt_1063";0;0;0;0;0;0
"*txt_1181";-0,627;-0,482;-0,693;0,338;0,67;0,852
"*txt_1221";-0,207;-0,159;-0,229;4,02;-0,193;-0,172
"*txt_1096";-0,416;-0,32;8,876;-0,505;-0,388;-0,346
"*txt_1170";9,81;-0,32;-0,46;-0,505;-0,388;-0,346
"*txt_1090";-1,273;-0,978;-1,406;8,413;0,001;0,02
"*txt_1253";-1,938;-1,489;-2,142;-0,465;36,929;-1,614
