"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7"
"fundamental";-0,551;-0,17;-5,909;56,828;-3,616;-0,595;-1,842
"foto";29,271;-4,157;-0,025;-2,38;-1,745;-1,113;-0,086
"espaço";5,152;-4,42;-5,592;1,548;-2,012;11,569;-1,63
"duro";0,687;-4,42;-2,333;-0,158;-9,032;4,161;19,803
"aurélio";-0,459;124,046;-0,548;-4,319;-9,221;-1,386;-6,893
"alves";-7,445;-4,288;107,369;-8,014;3,373;-4,056;-6,61
"aguardar";-1,069;51,212;1,773;-2,795;-5,069;-0,53;-4,793
"administrativo";-1,934;0,928;-0,106;7,827;4,275;-2,645;-6,893
"via";5,767;-3,765;-3,06;-0,011;9,135;-0,858;-2,335
"trf";-5,362;278,155;-7,424;-7,843;-6,434;-5,983;-6,469
"time";14,347;-3,514;-4,189;-0,187;-4,883;-0,366;8,257
"testemunha";-5,591;1,19;2,181;-5,838;39,013;-4,056;-4,519
"nível";-0,069;-5,82;-4,803;40,948;-5,88;-0,858;2,99
"multa";-6,717;13,156;-7,1;-0,028;44,233;-5,722;-6,187
"km";1,025;-4,463;-5,32;-0,786;-4,049;-2,321;62,966
"institucional";2,401;0,018;1,97;0;-1,044;0,05;-6,751
"europa";24,158;-6,363;-3,64;17,82;-8,843;-4,056;-0,625
"entidade";-1,031;5,486;0,174;0,086;0,274;-4,809;-0,075
"entendimento";-0,945;46,735;-0,476;-4,162;-4,893;1,282;-1,63
"emprego";-0,033;-2,622;-3,64;84,632;-8,843;-2,419;-1,527
"detalhe";-0,063;-0,58;0,32;-1,486;17,097;-4,182;-0,699
"custo";-1,323;-6,091;-5,118;32,59;13,283;-3,804;-4,246
"completar";-1,069;3,415;-5,75;0,129;-2,149;1,143;4,713
"admitir";-1,069;3,415;0,841;0,129;-1,152;-0,078;-0,198
"viagem";4,013;0,035;-0,408;-0,573;-8,843;0,545;2,061
"simples";23,05;-0,026;-5,118;0,039;-1,615;-0,006;-4,246
"recente";0,22;2,17;-5,592;-1,486;-4,893;8,688;1,867
"propriedade";-2,678;-6,363;-3,64;-2,517;122,243;-4,056;-4,519
"peça";1,588;0,177;-0,748;0,58;1,813;-1,976;-3,974
"mensalão";-0,069;31,511;-0,179;-1,978;-1,364;0,262;-6,046
"mello";-1,323;140,175;-1,953;-7,672;-2,824;-2,196;-6,328
"estratégico";-9,816;-6,499;-5,592;0,179;-4,893;-1,293;142,537
"direção";3,376;-1,928;-2,775;-0,752;-3,681;-0,119;18,236
"constitucional";-1,469;-0,448;-7,424;52,751;-8,654;7,04;-4,383
"comandar";0,034;-1,363;0,398;-4,005;1,071;15,59;-6,61
"atribuir";-0,227;0,49;2,409;-0,081;-0,011;-3,93;0,368
"ambiente";-7,689;-4,42;-5,592;132,414;-9,032;0,46;-2,949
"afastar";-1,774;3,687;3,32;-1,486;-4,893;2,515;0,002
"versão";-2,678;-2,622;3,61;-0,573;14,752;-0,407;-1,527
"transferência";-7,445;54,963;-7,586;-5,838;21,554;-2,419;-4,519
"terça";-3,587;0,091;11,279;-2,244;-6,249;17,159;-1,324
"terreno";-4,684;-5,82;-6,938;-3,386;139,755;-3,554;-2,335
"sucesso";-0,012;-4,157;-5,276;0,018;-2,98;-3,93;68,155
"repassar";-11,692;-2,504;0,485;-1,262;100,477;-5,983;-6,469
"rejeitar";-7,202;32,738;0,072;-5,67;-4,543;7,04;-0,086
"propor";6,086;-1,268;-0,025;-0,496;1,232;-0,016;-4,383
"prefeitura";1,83;-3,634;-4,646;9,17;-3,852;15,754;-5,905
"paz";1,588;-3,765;-6,938;-0,291;-5,88;-1,976;60,506
"juízo";-7,202;135,871;-7,424;-5,67;3,688;-5,983;-6,469
"jogo";6,602;-6,091;-0,932;-1,154;-8,465;0,154;18,56
"impacto";-4,909;-1,082;-7,1;29,231;-2,67;1,959;1,423
"gostar";24,316;-3,895;-1,83;-3,54;0,001;-0,941;0,074
"global";-3,587;-6,091;-5,118;75,277;-6,249;-5,852;8,664
"força_tarefa";-1,323;4,611;2,653;-7,672;19,927;-3,804;-6,328
"emenda";-3,182;-0,992;-6,938;-7,33;-8,088;207,79;-3,974
"determinado";-5,362;38,171;-0,025;0,018;-0,261;-1,113;-2,701
"criação";-0,413;-2,156;-6,938;17,9;-1,364;5,903;-0,357
"comprovar";-7,445;11,215;10,044;-5,838;11,834;-4,056;-6,61
"auto";-5,135;66,378;0,584;-7,672;2,549;-5,852;-6,328
"aeronave";1,368;-3,895;2,917;5,787;-6,065;-5,722;1,423
"transformar";15,393;0,796;-4,803;-3,386;-0,561;0,983;-2,335
"regional";-9,06;9,427;2,653;0,386;-6,249;-0,296;2,492
"ptb";4,815;0;-3,401;-0,891;-4,231;24,054;-4,777
"pronto";0,774;-3,765;-4,803;-1,978;-0,561;0,262;24,866
"prerrogativa";-4,684;88,178;0,818;-5,17;-8,088;0,262;-6,046
"pior";15,393;-5,82;-4,803;6,232;-5,88;0,001;-0,017
"península";-6,959;-6,091;-7,262;-7,672;-8,465;-5,852;290,558
"limite";3,694;-3,895;-4,961;13,629;-2,67;0,204;-0,419
"inteligência";6,847;-5,548;0,358;1,831;-7,71;-5,33;5,59
"franco";-2,496;-2,504;44,673;-5,67;-2,98;9,715;-4,383
"fraco";-4,909;-5,955;138,394;-0,028;-4,196;-5,722;-6,187
"formar";3,332;-1,174;-0,01;0,039;-0,204;0,154;-1,324
"execução";-3,587;162,884;-1,953;-2,244;-4,369;-5,852;-6,328
"evento";4,085;5,33;-1,709;-0,946;-4,024;0,983;-1,13
"crer";10,978;-0,026;-5,118;12,882;-8,465;-1,026;-1,324
"construção";-3,587;-4,026;-7,262;19,687;13,283;-0,296;-1,324
"comunidade";1,83;-3,634;-0,661;2,931;-7,899;-3,429;17,319
"cenário";-0,012;-6,227;-5,276;3,283;-6,434;29,537;0,368
"atenção";21,943;-0,275;-1,709;-0,291;-4,024;-0,858;-0,017
"ameaçar";-5,135;-2,387;-5,118;-1,154;-6,249;-0,296;123,919
"queda";31,217;-0,904;-4,646;9,17;-5,696;-5,461;-3,838
"perda";-0,182;-0,136;-1,356;17,077;-5,328;1,437;-0,854
"morador";85,287;-3,245;-4,177;-0,573;-7,333;-3,056;-3,433
"lúcio";-6,717;-3,895;148,873;-7,501;0,001;-5,722;-6,187
"iniciar";-1,323;9,427;-0,284;2,159;-4,369;-2,196;1,263
"indicação";-6,717;-0,011;42,476;-1,049;-0,649;0,204;-4,11
"indevido";-11,437;-0,026;-5,118;-7,672;170,728;-5,852;-6,328
"habeas";-10,672;279,656;-4,646;-7,159;-5,696;-5,461;-5,905
"golpe";16,341;0,033;-1,243;0,024;-7,333;-0,55;-0,15
"favorável";-2,982;3,667;-2,917;-3,233;-3,852;54,237;-1,035
"erro";0,572;-3,375;-2,634;5,448;-2,072;2,876;0,002
"dívida";-4,684;-3,765;-3,06;40,948;0,86;0,262;-3,974
"conteúdo";-1,323;-0,387;59,013;-2,244;-0,742;-1,026;-6,328
"comentário";-1,046;-0,275;28,376;-3,386;-2,518;-0,858;0,638
"colega";1,17;9,427;-0,932;-5,503;-8,465;5,142;0,046
"causar";-0,327;-0,904;0,007;12,02;-3,852;-0,777;0,75
"âmbito";-4,684;1,862;63,688;-5,17;-0,109;-3,554;-6,046
"salário";-7,552;-5,277;-4,177;112,882;-0,899;-0,057;-5,481
"prometer";0,078;-1,928;-2,775;-0,179;-2,219;-0,699;32,489
"procuradoria_geral";-8,556;-2,156;78,588;-0,946;0,008;-0,858;-6,046
"procedimento";0,078;0,004;-0,578;9,792;0,051;-0,699;-5,764
"princípio";1,368;1,673;-4,961;10,647;-8,277;-0,941;0,074
"posse";-1,637;0,004;5,808;-4,837;0,43;-0,119;0,874
"oportunidade";3,02;-0,904;-0,134;12,02;-1,243;-0,777;-5,905
"mônica";-10,672;-5,684;-2,917;-7,159;200,164;-5,461;-5,905
"mesa";0,174;0,683;-1,83;-5,337;-6,065;1,959;15,627
"marqueteiro";-11,182;-5,955;-4,961;-7,501;223,077;-5,722;-6,187
"mantega";-10,417;-5,548;-6,614;-6,988;219,503;-5,33;-5,764
"escola";31,54;-4,598;-1,814;6,093;-6,39;-2,442;-2,764
"droga";11,34;-0,067;-1,133;8,938;-7,144;-2,933;-1,745
"decreto";-2,786;-3,504;-0,578;-4,837;-3,681;142,281;-5,764
"código";-0,413;63,584;-3,06;-0,946;-2,518;-0,858;-2,335
"convocar";-1,214;-0,437;-0,828;-2,392;-2,793;18,694;5,178
"concessão";-8,054;11,874;-1,472;0;10,436;-0,699;-2,096
"celso";-1,801;91,352;-1,589;-0,232;-5,696;-0,777;-5,905
"bernardo";-6,475;-5,82;-6,938;-7,33;205,519;-5,591;-6,046
"zavascki";-0,327;32,906;16,886;-3,233;-7,899;-3,429;-5,905
"york";-0,61;0,956;-2,485;-4,767;-0,047;-1,724;30,35
"voo";-4,238;-3,504;-2,775;33,566;-2,219;-1,761;8,071
"temer";6,847;-5,548;2,263;-1,719;-7,71;0,406;1,992
"seul";-10,672;-5,684;-6,776;-7,159;-7,899;-5,461;300,834
"putin";-8,305;-5,684;-6,776;-5,003;-7,899;-5,461;269,056
"punição";-0,792;23,973;0,021;-1,719;-3,681;-0,699;0,21
"presídio";-0,182;35,927;-0,061;0,971;-7,522;-0,623;-5,623
"perigoso";-0,001;-5,412;0,448;0,971;-7,522;-1,654;23,668
"ouvido";-1,046;1,862;0,818;-1,978;0,86;0,262;-1,13
"mãe";71,17;-0,656;-4,177;-1,469;-1,927;-5,069;-5,481
"moreira";-8,556;-0,275;86,625;-5,17;-5,88;3,803;-6,046
"modelo";0,447;-5,548;-0,578;16,139;-2,219;0,021;-0,245
"indústria";-6,234;-3,634;-2,917;68,778;-1,243;-0,777;-0,006
"guido";-8,054;-5,548;-6,614;-4,837;194,811;-5,33;-5,764
"encaminhar";0,002;13,327;6,757;-4,506;-3,342;-0,057;-3,433
"elemento";-2,786;1,058;1,105;9,792;-0,399;-3,304;-0,943
"divulgação";-10,927;-2,156;38,582;-5,17;3,116;0,262;-1,13
"dirigir";18,545;-0,136;-0,499;-0,132;-3,511;-0,623;-0,854
"corpus";-10,417;272,215;-4,49;-6,988;-5,512;-5,33;-5,764
"verdadeiro";4,506;0;-0,661;-0,847;1,01;-3,429;-0,006
"vara";-10,417;114,439;5,808;-4,837;-3,681;-5,33;-5,764
"recibo";-7,302;-5,141;-4,021;-6,475;178,764;-4,939;-5,34
"municipal";-1,568;-0,602;-2,485;4,465;-1,576;27,227;-3,932
"ligado";-3,369;14,967;-0,004;-1,229;3,529;-0,413;-3,164
"japonês";-5,994;-5,548;-4,49;-6,988;-1,124;-3,304;177,531
"italiano";4,183;-3,245;-4,177;-6,646;48,582;-3,056;-3,433
"eunício";-3,369;-2,987;-1,026;-6,304;-4,778;163,619;-5,2
"episódio";7,446;-0,736;18,813;-2,93;-1,01;-5,2;-3,567
"distrito";-4,572;2,208;-0,173;8,086;-2,678;4,482;-2,897
"completo";-2,402;-1,705;0,551;11,158;-0,258;-0,057;-0,15
"colaborar";-1,801;-0,904;0,28;-0,847;37,121;-1,868;-5,905
"certeza";4,959;-1,928;5,808;-0,179;-1,124;-0,699;-2,096
"br";61,131;-5,141;-4,021;-0,057;-3,174;-0,48;-5,34
"bomba";-0,182;-5,412;-2,634;-6,817;-7,522;-3,18;146,436
"vizinho";-3,8;-3,245;-6,29;-2,78;15,138;-3,056;35,567
"visão";0,883;-0,579;0,12;1,311;-7,144;-0,48;2,717
"veículo";-0,417;-4,327;-0,049;2,84;0,212;-4,157;7,466
"sítio";-7,302;-5,141;-6,128;-6,475;155,725;-2,933;-1,745
"seguida";-0,182;4,32;2,517;-1,593;-3,511;0,492;-0,195
"rádio";0,002;-5,277;2,792;-4,506;-3,342;53,458;-5,481
"rei";-2,031;-0,041;0,799;-0,03;21,053;-2,809;-5,2
"norma";-1,323;-3,245;-4,177;14,407;-5,144;1,617;6,472
"mar";0,017;-5,141;-4,021;-0,49;-1,785;-4,939;73,562
"legislação";-5,994;1,058;-1,472;24,064;-0,399;1,272;-5,764
"familiar";-2,402;4,682;24,217;-0,573;-0,258;-3,056;-5,481
"externo";1,553;-0,656;-2,494;11,158;-0,899;-3,056;0,01
"escândalo";-0,792;-0,819;-1,472;24,064;0,051;-0,119;-3,703
"escolha";-1,323;-0,099;0,077;5,904;-1,927;1,617;-0,767
"empreendimento";-9,652;-5,141;-6,128;-2,632;167,046;-4,939;-3,298
"disputar";-7,803;-0,136;-2,634;-2,93;-7,522;172,314;-5,623
"disposição";-0,792;-0,819;3,83;-3,081;20,409;-5,33;-0,943
"defensor";-3,583;27,712;-0,353;-0,057;-0,793;0,107;-1,745
"ativo";-0,792;8,776;-6,614;3,23;0,051;-5,33;0,874
"alegação";-5,279;116,367;-2,356;-6,475;0;-4,939;-1,745
"vice";0,515;-0,021;-3,71;-4,011;-4,595;60,674;-3,03
"sindical";0,341;-1,485;-1,77;4,233;-0,371;2,708;-1,542
"repasse";-7,803;-1,816;-6,452;10,454;59,027;-5,2;-5,623
"reiterar";-5,755;0,015;-0,499;0,007;0,537;-3,18;19,207
"receita";-3,583;-0,579;-0,353;38,664;0,796;-2,933;-5,34
"pleno";2,388;0,372;-0,061;-0,132;-5,328;-1,654;3,883
"perrella";-0,763;-4,734;140,089;-5,962;-4,413;-4,548;-4,918
"paulista";5,131;-2,987;-1,026;-1,229;5,43;0,823;-5,2
"obrigar";0,131;6,594;-0,499;5,448;-3,511;-5,2;-0,195
"navio";11,34;-1,595;-6,128;-1,348;-1,785;-4,939;21,323
"moção";-1,483;-1,89;-2,253;2,23;-2,627;38,503;-1,964
"léo";-9,398;-1,487;-2,218;-6,304;139,571;-2,809;-5,2
"integrar";-2,031;5,486;1,879;-1,229;0,005;0,823;-3,164
"hospital";16,347;-1,381;-0,921;-0,012;1,126;-4,678;-3,03
"expor";3,442;-0,041;-5,967;1,508;0,274;0,153;-3,164
"dividir";2,708;-5,277;-4,177;2,309;-0,258;7,738;-1,861
"conduta";-1,031;14,967;1,879;-1,229;-0,144;-0,413;-3,164
"alcançar";-2,402;-3,245;-0,423;0,024;-5,144;-0,55;55,196
"zanin";-7,052;1,754;-5,967;-6,304;109,395;-4,809;-5,2
"técnico";-2,215;-0,579;-6,128;28,044;1,79;-1,446;-0,683
"tillerson";-9,652;-5,141;-6,128;-6,475;-7,144;-4,939;272,093
"suíço";-3,369;-2,987;-5,967;-1,229;100,152;-1,344;-5,2
"relato";-1,174;-3,116;1,657;-2,632;28,608;-1,446;-1,745
"preocupado";11,34;-3,116;-1,133;-0,49;3,181;-0,033;-5,34
"praça";24,933;-2,702;-3,221;-0,33;-0,009;-0,043;-2,807
"planejamento";-7,052;-0,505;-2,218;67,875;-0,69;-0,016;-5,2
"operador";-9,398;-5,005;10,741;-1,229;46,873;-4,809;-3,164
"negativo";1,807;0,555;-6,128;0,468;0,199;-2,933;0,434
"máximo";2,708;0,458;-2,494;-0,091;-5,144;0,07;2,456
"moral";11,34;18,148;-2,356;-0,49;-4,961;-1,446;-5,34
"liberar";-3,583;-0,067;20,976;-1,348;1,79;-2,933;-0,683
"identificar";0,286;-1,595;4,964;-2,632;0,199;-0,48;0,027
"general";2,088;-5,005;-2,218;-0,411;-4,778;0,153;22,478
"fácil";74,233;-2,859;-5,805;-2,338;-6,767;-0,005;-3,03
"entrega";-3,8;-1,705;2,792;-0,091;27,149;-3,056;-3,433
"emilio";-6,802;-1,381;-3,71;-6,133;145,172;-4,678;-5,059
"dirigente";-0,461;-0,579;1,657;-4,341;4,969;-0,033;0,027
"cobrar";-0,075;-5,141;-1,133;6,393;3,181;-0,033;-0,683
"ciro";-9,143;-2,859;-0,921;-4,011;-4,595;183,633;-5,059
"carro";31,6;-1,975;-1,178;-1,361;-0,087;-0,599;-4,073
"aposentadoria";-1,852;0,139;-5,805;7,481;-1,508;16,997;-3,03
"antônio";-3,156;0,139;0;-6,133;49,179;-1,244;-5,059
"afirmação";-1,174;-0,579;3,09;-6,475;19,868;-2,933;-0,11
"verificar";-0,893;8,711;0,24;-0,012;0,021;-2,687;-0,524
"sustentar";-2,215;3,061;-2,356;2,58;9,737;-4,939;-1,745
"surgir";49,13;-1,595;-0,353;-4,341;-7,144;-1,446;-0,11
"subir";0,017;-5,141;-4,021;28,044;-4,961;0,107;0,434
"soltar";-1,174;22,678;20,976;-4,341;-4,961;-1,446;-5,34
"reagir";-0,461;-3,116;0,12;-4,341;-1,785;-0,033;37,239
"punir";10,316;-0,021;0;0,134;-6,767;-1,244;-0,046
"pmdb_rj";-9,398;-1,487;152,124;-2,484;-4,778;-2,809;-5,2
"partidário";0,091;-0,435;-0,921;0,134;-1,508;21,59;-5,059
"norte_coreanos";-9,652;-5,141;-6,128;-6,475;-7,144;-4,939;272,093
"jovem";26,375;-2,987;-5,967;0,579;-3,007;-0,016;-0,602
"importar";-2,215;-5,141;-6,128;50,986;-4,961;-1,446;6,959
"fogo";-0,524;-4,463;-3,247;4,336;-6,202;-4,287;54,822
"estimar";-3,837;0,009;-0,613;6,858;3,24;-3,116;0,001
"eleitor";18,774;-4,598;-5,481;0,001;-4,231;14,643;-4,777
"derrubar";1,807;1,556;4,964;-4,341;-7,144;-1,446;1,33
"contribuir";2,399;-1,381;-2,082;21,44;-0,098;-2,687;-5,059
"constar";-4,806;3,686;5,87;-4,011;14,501;-2,687;-5,059
"castro";10,316;-0,435;-0,921;3,196;-2,842;-0,35;-3,03
"bloqueio";-7,87;8,729;-1,426;-1,63;30,015;-2,08;-2,368
"bancário";-4,572;-4,734;-0,173;-1,001;81,765;-4,548;-2,897
"apuração";-4,572;4,037;35,466;-0,002;-2,678;-2,564;-4,918
"adquirir";-3,583;-3,116;-4,021;-4,341;96,14;-2,933;-0,683
"áudio";-1,852;-0,435;123,671;-6,133;-4,595;-4,678;-5,059
"wesley";-6,552;-4,734;117,849;-5,962;0,469;-4,548;-4,918
"tiro";34,697;-4,056;-0,374;-5,108;-5,637;2,155;-0,882
"sigla";-1,031;-2,987;-0,287;-1,229;-3,007;8,845;13,973
"residência";-4,572;-4,734;6,375;18,362;2,604;-4,548;-4,918
"republicano";0,153;-4,734;-1,947;1,966;-2,678;0,274;8,635
"renda";-3,369;-2,987;-1,026;67,875;-0,144;-2,809;-3,164
"realidade";11,172;-0,368;-5,643;1,966;-0,501;-2,564;-0,024
"qualidade";-0,138;-2,604;-3,401;77,54;-2,515;-4,418;-2,764
"página";1,793;0,259;4,551;-0,891;-0,03;-2,442;-2,764
"proteger";0,515;-4,869;-3,71;-0,012;-2,842;0,96;19,012
"pasta";-0,084;-2,477;7,507;9,437;-6,202;0,442;-4,636
"parar";31,54;-2,604;-0,124;-3,683;-0,414;-4,418;-0,009
"município";-0,741;-1,975;-4,673;45,554;-0,087;-0,036;-4,073
"mencionar";-2,031;-0,041;-0,004;-2,484;17,112;-4,809;1,514
"martins";-6,303;4,416;-3,401;-3,683;61,391;-2,442;-4,777
"legenda";-3,369;-1,487;0,174;-6,304;0,005;66,277;-5,2
"internet";6,246;-0,368;-0,173;1,966;-4,413;-1,145;-0,024
"histórico";3,86;-0,435;-2,082;7,481;-4,595;-1,244;0,086
"hipótese";-6,552;16,824;-0,82;5,584;-4,413;4,482;-4,918
"frança";0,335;-4,463;-5,32;-0,786;-0,334;-0,184;33,771
"esforço";-0,001;-4,734;-5,643;8,086;-6,579;0;20,118
"envolvimento";-5,042;-0,041;22,158;-6,304;7,739;-2,809;-0,602
"entrada";-3,646;-0,876;-0,454;23,512;-0,872;0,063;-0,197
"embaixador";-7,052;-2,987;0,174;0,579;-6,956;-4,809;76,619
"eldorado";-3,419;-0,782;13,122;-5,108;13,268;-0,064;-4,213
"descobrir";13,159;-2,859;3,762;-0,012;-1,508;-4,678;-1,519
"curso";3,86;-1,381;2,121;1,726;-2,842;-1,244;-1,519
"cristiano";-7,052;5,486;-5,967;-6,304;91,317;-4,809;-5,2
"barroso";-5,042;132,273;-1,026;-6,304;-4,778;-0,016;-5,2
"bandido";37,02;-0,69;2,579;-2,871;-5,448;-3,766;-4,073
"autor";3,86;20,241;-0,921;-0,338;-6,767;-2,687;-0,524
"atitude";20,12;-1,071;-3,247;-5,621;-6,202;0,014;6,893
"virar";2,399;-0,435;11,487;-0,338;-0,593;-1,244;-5,059
"trocar";0,056;-4,327;3,343;-3,356;11,383;-2,2;-0,253
"terra";8,084;-1,975;-4,673;0,174;-5,448;-1,842;13,286
"souza";-3,156;-1,381;28,325;-2,338;2,307;-0,005;-5,059
"site";-0,138;-4,598;26,179;-0,208;-0,414;-1,048;-0,38
"respeitar";14,155;0,429;-5,158;-0,105;-0,991;-2,2;0,001
"indicado";-1,852;-4,869;11,487;-6,133;14,501;0,208;-3,03
"glauco";-8,124;-4,327;-5,158;-5,45;171,192;-4,157;-4,495
"faltar";-1,852;-0,021;-5,805;10,298;5,927;0,208;-5,059
"expectativa";-0,64;-0,305;0,021;11,856;-0,414;-0,235;-1,298
"ex_diretor";-9,143;-2,859;-0,921;-2,338;123,946;-4,678;-5,059
"eleito";-2,739;-0,305;-5,481;-0,891;-4,231;117,35;-4,777
"df";-1,341;0,338;-0,628;9,437;-2,353;5,316;-4,636
"dem";-8,379;-1,071;-5,32;-5,621;-2,353;190,251;-4,636
"criança";10,316;-0,021;-5,805;1,726;-6,767;-4,678;5,413
"coreano";-9,143;-4,869;-5,805;-6,133;-6,767;-4,678;257,73
"cooperação";-5,557;-0,876;-0,454;14,653;-0,872;-4,027;11,499
"cliente";-6,552;0,193;0,319;-3,847;45,171;-1,145;-4,918
"circunstância";-0,001;-0,007;0,006;0,849;-4,413;2,515;-0,024
"chance";-0,64;-2,604;-3,401;1,012;-4,231;24,054;0,908
"casal";-0,013;-0,435;0;-6,133;42,967;-2,687;-5,059
"assistir";14,167;0,927;4,141;-3,847;-2,678;-2,564;-4,918
"américa";2,743;-4,734;-5,643;11,05;-0,501;-1,145;0,768
"4a";-9,143;235,045;-5,805;-6,133;-2,842;-4,678;-5,059
"velho";15,25;-4,598;-1,814;0,269;-0,414;-0,235;-0,38
"vaga";-6,303;-1,173;2,677;0,269;-4,231;42,527;-4,777
"toffoli";-0,64;71,746;-1,814;-0,208;-6,39;-0,235;-4,777
"relacionar";-0,138;2,467;2,677;-3,683;2,929;-0,235;-4,777
"realização";-2,334;-2,35;-5,158;-1,768;11,383;21,408;-1,085
"pôr";9,301;-2,604;-3,401;0,001;-2,515;0,003;2,179
"possuir";-4,338;-1,173;-0,722;15,451;0,089;-4,418;3,997
"petrobrás";-3,875;0,429;0,085;-0,105;28,259;-4,157;-4,495
"pec";-5,557;-0,876;-4,997;-5,279;-5,825;190,304;-4,354
"organizar";18,774;-1,173;-3,401;-0,208;-1,243;2,792;-4,777
"objeto";0,605;1,657;0,789;-1,63;1,08;-2,08;-2,368
"nomeação";-3,875;3,059;35,14;-5,45;-2,194;0,545;-4,495
"morar";16,414;-1,071;-1,683;2,52;-0,334;-2,321;-4,636
"matar";5,953;-4,327;-1,553;-0,684;-6,013;-0,139;18,922
"localizar";-0,524;-0,246;4,997;-0,153;1,781;-4,287;-0,001
"letícia";-8,888;-4,734;-5,643;-5,962;187,288;-4,548;-4,918
"insistir";-1,507;0;-5,481;-3,683;1,539;0,352;16,743
"impunidade";45,091;-0,368;-5,643;0,195;-6,579;-1,145;-2,897
"frederico";-4,106;-0,246;116,947;-1,908;-6,202;-4,287;-4,636
"ex_assessor";-6,303;-1,173;101,775;-3,683;-1,243;-4,418;-1,298
"desviar";-2,947;-1,276;-0,82;3,544;12,047;-1,145;-0,45
"dano";-0,763;45,121;-3,555;-0,27;-0,059;-4,548;-0,45
"cumprimento";-6,054;2,75;7,507;9,437;-0,334;-4,287;-4,636
"comparar";3,996;-0,972;-1,553;2,84;-0,991;0,034;-1,085
"cassação";-6,054;116,987;-1,683;-5,621;-4,049;0,442;-4,636
"asiático";-6,552;-4,734;-5,643;-1,001;-2,678;-4,548;162,183
"andré";-6,054;1,254;-0,083;-1,908;10,543;5,316;-4,636
"aliar";-6,552;-2,731;-0,82;-0,27;-0,501;10,109;15,759
"aborto";2,893;-1,729;-4,35;43,642;-5,072;-1,607;-3,791
"the";-0,001;-0,361;-4,028;0,044;-2,617;-1,377;29,642
"suspensão";-8,124;60,314;0,085;-0,684;-6,013;0,034;-1,085
"resolução";-8,379;-1,071;-5,32;-0,153;-1,115;-0,184;80,947
"psdb_mg";-8,633;0;134,094;-5,791;-2,515;-4,418;-4,777
"pronunciamento";3,215;-4,056;13,122;-3,032;-3,507;2,155;-2,238
"prejudicar";0,003;4,416;-1,814;-0,208;-0,414;-0,235;0,908
"posto";0,234;-2,604;0,021;6,093;-6,39;4,883;-1,298
"porta_voz";-8,633;-2,604;-5,481;-2,049;-2,515;-2,442;155,293
"piloto";35,495;-1,487;0,097;-0,128;-4,695;-3,246;-3,51
"orçamento";-6,303;-4,598;-3,401;77,54;-6,39;1,281;-0,38
"nobre";1,025;-4,463;-0,628;-5,621;-1,115;60,464;-4,636
"moçambique";-8,124;-4,327;-3,093;162,281;-3,868;-4,157;-4,495
"metade";3,537;-2,477;-1,683;6,642;-1,115;1,468;-4,636
"mala";-8,124;-4,327;63,644;-5,45;8,343;-4,157;-2,499
"liminar";-8,124;221,339;-5,158;-5,45;-6,013;-2,2;-4,495
"levantar";-0,138;-4,598;-1,814;6,093;0,089;2,792;-0,38
"interlocutor";-6,054;0,338;10,527;-1,908;5,248;0,014;-4,636
"fábio";-6,054;-4,463;45,928;-1,908;7,667;-2,321;-4,636
"financiar";-0,014;-2,225;-4,997;1,627;24,854;-2,08;-2,368
"emitir";-7,87;3,396;0,789;5,274;0,003;-2,08;-0,197
"desvio";-3,875;20,107;3,343;-3,356;3,676;-4,157;-4,495
"desistir";-0,138;-1,173;-3,401;-3,683;7,042;2,792;0,908
"contribuição";-0,158;-3,92;-1,178;6,388;1,526;2,433;-4,073
"conter";-5,805;-0,972;3,343;-0,684;-0,991;-0,139;18,922
"bairro";18,71;-2,431;-1,039;2,553;-1,419;-2,336;-2,526
"apreender";-2,535;-2,477;1,503;-3,519;57,004;-4,287;-4,636
"aplicar";-4,338;2,467;-3,401;3,924;-0,03;0,003;0,908
"analista";-4,106;-4,463;-5,32;-0,153;-4,049;-4,287;135,766
"alegre";3,121;81,018;-5,481;-5,791;-6,39;-1,048;-4,777
"viajar";14,155;-4,327;-3,093;4,785;-3,868;-0,861;0,001
"vazamento";-2,136;-0,876;66,865;0,065;-3,687;-4,027;-4,354
"sugestão";-1,181;25,312;-0,539;0,032;-2,194;0,545;-4,495
"salvador";1,248;-2,35;-0,539;-5,45;8,343;5,784;-4,495
"repetir";12,006;-0,876;0,135;-3,194;-0,872;0,664;-2,368
"raquel";-5,557;-4,191;165,45;-3,194;-5,825;-4,027;-4,354
"publicitário";-2,334;-2,35;-0,049;-0,105;45,866;-2,2;-4,495
"protocolar";-4,106;18,938;7,507;-5,621;0,734;-0,954;-4,636
"pronunciar";-5,557;3,396;8,826;-0,065;0,003;0,063;-4,354
"perceber";50,273;-1,071;-3,247;-1,908;-6,202;-0,184;-1,191
"mato";-0,457;-0,112;14,835;-1,614;2,588;-2,726;-2,947
"ligação";-1,943;-4,056;32,939;-0,495;1,29;-1,961;-2,238
"jogar";52,265;-1,852;-4,512;-0,327;-3,149;-1,724;-1,978
"interrogatório";-5,557;46,85;-2,94;-3,194;12,289;-4,027;-4,354
"inocência";-1,341;10,722;1,503;0,011;0,143;-2,321;-4,636
"inglês";0,056;-4,327;-5,158;-0,105;-2,194;-0,139;42,336
"igual";29,541;-2,1;-4,835;0,728;-5,637;-0,683;-0,146
"grosso";-0,457;-0,112;14,835;-3,573;4,874;-2,726;-2,947
