"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6"
"iniciativa";0,008;-2,425;3,008;-0,286;0,272;0
"doria";-5,31;-13,485;1,466;3,127;48,85;-9,667
"assessor";-7,467;5,59;-1,574;-3,971;0,04;7,685
"adotar";-1,355;-7,626;-0,368;-4,462;0,702;34,824
"acidente";-3,975;-4,811;-4,471;58,597;-0,738;-0,015
"universidade";-2,349;-11,079;41,38;-2,698;-1,224;2,263
"time";-8,635;-13,093;57,609;0,21;-6,669;1,96
"site";-5,802;2,535;-4,364;30,897;-2,187;-1,981
"simples";-0,94;-6,522;17,626;3,43;0,071;-5,204
"recente";0;-12,196;-0,072;-1,822;13,081;4,066
"putin";-9,469;-17,1;-6,417;-10,146;-9,72;245,576
"presença";-1,125;-3,107;2,102;-0,52;-0,408;7,846
"pedro";23,422;12,539;-5,18;-8,894;-0,01;-10,746
"exercer";18,815;-3,144;0,902;-5,463;0,11;-1,068
"educação";-1,268;-6,269;28,593;3,582;-0,405;-6,22
"década";-1,93;-0,11;-0,024;-0,003;-5,786;16,496
"crescer";-3,975;-4,811;0,018;0,632;10,261;0,171
"andar";-5,304;-5,077;-2,157;64,272;1,407;-6,866
"teixeira";40,816;-1,435;-3,351;0,037;-1,164;-3,857
"suspeita";-0,94;41,258;-2,622;-5,637;-2,104;-1,192
"silêncio";-2,762;73,876;-2,238;-3,213;-8,521;-4,674
"promover";-0,346;-4,641;7,889;0,04;-0,408;0,409
"limite";-3,52;-6,796;1,466;9,134;0,391;0,001
"golpe";-1,04;-5,071;28,302;0,265;-1,148;-1,32
"força_tarefa";23,181;3,689;-0,002;-3,01;-4,499;-8,373
"fogo";-6,135;-8,627;-0,664;-1,396;-4,169;86,205
"ex_governador";43,898;3,996;-9,713;-7,037;0,332;-11,178
"corrupto";-0,35;0,891;0,151;11,834;-2,238;-7,383
"compromisso";-6,135;3,098;13,8;-4,423;0,088;-2,315
"completar";0,962;-5,523;-5,707;14,924;-0,072;0,36
"coletivo";-0,28;-8,331;6,053;0,548;-1,109;2,567
"causar";-1,593;-1,62;3,875;-0,261;0,001;1,299
"trabalhista";-5,473;-13,786;-8,588;-5,986;219,798;-5,608
"seul";-8,968;-16,196;-10,089;-9,609;-9,206;253,74
"repassar";-7,467;134,477;-6,187;-8,001;-5,496;-9,667
"passo";-2,627;-9,935;23,544;-0,901;-0,733;4,066
"observar";-0,002;-0,467;0,281;-5,463;-5,163;20,989
"obama";-5,473;-13,786;7,616;-2,624;-3,842;48,161
"irregularidade";1,117;50,149;-7,463;-1,787;-4,665;-8,589
"inteligência";-5,304;-7,15;15,118;-0,806;-5,444;18,922
"general";-6,634;-5,437;0,568;-0,203;-1,588;33,648
"fundamental";-0,561;-5,845;73,033;-4,462;-1,48;-2,866
"exportação";-2,814;27,523;-3,165;-3,014;-1,02;0
"evento";2,546;-2,283;0,693;-0,151;0,025;-0,135
"europa";-6,968;-7,908;32,557;4,102;-4,996;0,059
"emenda";-7,634;-13,786;-0,807;-8,179;207,531;-9,883
"dívida";-2,287;10,749;-1,256;-2,556;5,563;-3,407
"diferença";-4,971;-2,864;26,82;-1,651;-0,033;0,117
"construtor";0,097;65,124;-5,779;-5,504;-5,274;-6,651
"cassar";48,71;3,635;-4,484;-4,134;-2,373;-9,883
"autorização";21,011;4,923;-5,592;-0,598;-5,103;-2,487
"alves";-1,125;84,598;-6,901;-6,573;-2,478;-7,942
"temer";-5,961;-2,103;0,835;1,11;0,593;1,6
"sucesso";-8,134;-6,107;-1,114;2,114;-4,311;47,64
"preço";-3,975;0,055;0,484;1,867;-4,08;2,209
"pressão";-6,125;-12,495;0,004;-0,999;1,225;36,282
"perigoso";-4,986;-3,144;0,281;0,429;-0,288;11,412
"nível";-5,802;-5,915;6,594;3,131;-0,996;2,901
"mônica";-3,67;137,845;-8,588;-8,179;-7,836;-9,883
"mar";-6,968;-12,582;-5,638;-0,019;-7,152;125,432
"liderança";-5,31;-13,485;37,721;-8,001;0,391;5,665
"direção";-3,222;-8,196;1,878;-1,113;-0,288;24,825
"coreano";-9,135;-16,497;-10,277;-9,788;-9,378;258,463
"comentário";-0,074;-5,077;-0,245;4,3;-0,68;4,107
"colega";-4,019;-11,079;0,008;4,175;16,308;-0,051
"terminar";-0,518;-4,8;1,122;1,383;0,591;0,064
"positivo";-1,968;-10,705;0,21;2,043;3,927;1,657
"pertencer";29,516;-0,287;-0,723;-0,611;-1,763;-2,597
"paz";-5,635;-11,599;0,065;1,437;-3,998;41,148
"padilha";-2,208;-0,255;-2,798;-0,437;55,973;-7,727
"lúcio";-3,177;129,891;-9,901;-3,668;-9,035;-11,394
"institucional";-3,67;3,635;15,833;-4,134;0,955;-9,883
"espaço";-2,781;-5,437;8,6;-0,203;10,49;-1,607
"custo";-4,307;14,028;-0,002;0,002;-2,387;-0,664
"comprovar";16,978;12,689;-2,175;-3,327;-4,83;-6,536
"aurélio";-1,985;-3,585;2,835;6,665;1,068;-2,57
"assegurar";-1,354;-3,581;43,154;-4,768;-2,774;0,225
"âmbito";0,685;41,701;-2,962;-2,698;-4,169;-7,942
"transformar";3,301;-7,349;9,421;-0,716;0,242;-1,586
"taxa";-1,488;2,344;-0,142;-1,595;0,433;0,131
"origem";0,109;18,222;1,663;-3,809;-5,329;-5,204
"mídia";0,109;-4,817;0,002;-0,467;-1,043;13,442
"jogo";-4,986;-4,564;0,012;0,429;-0,288;17,475
"indício";9,486;18,942;-7,089;-2,853;-6,469;-1,323
"gasto";-2,349;-0,346;-2,962;-0,068;46,848;-5,693
"duro";-7,634;-7,072;1,286;0,2;0,311;11,898
"crescimento";-1,985;-1,456;-0,49;-2,127;18,615;0,451
"convocar";-1,143;-3,979;0,703;-1,37;7,047;1,053
"assistir";0,821;-0,95;-2,322;40,33;-1,842;-9,02
"aeronave";-2,909;0,231;-1,847;1,619;-5,103;10,379
"york";-0,94;-1,249;14,31;-5,637;-7,494;10,692
"voo";-3,066;-1,784;-3,645;1,383;-1,625;24,747
"viagem";-0,495;-7,049;-0,241;1,978;1,141;3,021
"verdadeiro";0,156;-1,096;4,888;1,172;-5,163;-0,054
"trf";264,172;-11,898;-8,963;-6,335;-8,179;-10,314
"testemunha";8,349;8,641;-2,001;-0,7;-3,188;-4,439
"teoria";-4,663;-9,813;78,412;-3,327;-3,075;0,101
"sítio";-0,037;3,905;-2,978;1,244;-0,88;-0,29
"prefeitura";-0,902;-1,928;-1,256;0,358;32,541;-5,575
"posse";-1,02;-0,305;0,166;-2,723;2,849;1,286
"moral";20,678;-11,003;0,151;11,834;-1,148;-9,667
"iniciar";11,664;-1,5;0,057;-6,217;-3,84;4,612
"impacto";-1,02;-1,02;-2,935;-2,723;7,742;7,029
"guido";-7,801;149,593;-8,775;-6,16;-8,007;-10,099
"fórum";-1,244;-5,68;0,417;-0,304;16,583;-0,044
"embaixador";-4,824;-4,315;-5,638;-1,004;-7,152;99,645
"conferir";-1,354;-2,283;-3,294;52,427;-4,499;-0,135
"comercial";-6,302;-4,904;0;-0,608;-4,334;54,476
"atribuir";0,457;0;-0,241;3,442;-4,499;0,003
"administrativo";0,364;13,637;6,235;-3,168;-6,81;-8,589
"zavascki";1,81;-1,791;-1,116;12,522;-1,018;-1,284
"versão";-0,018;7,04;-3,467;-1,651;0,114;-0,019
"transferência";50,815;0,469;-4,545;-4,251;-1,109;-5,483
"terreno";-1,488;0,545;0,292;-0,109;-0,084;0,131
"rádio";-3,859;-2,876;-4,545;0,548;49,103;-2,147
"propriedade";1,156;-0,271;0,791;-0,423;-0,369;-0,008
"propor";-1,526;-0,231;6,47;2,82;-0,584;-2,672
"porta_aviões";-7,634;-13,786;-8,588;-8,179;-7,836;215,984
"pior";-4,824;-10,11;7,447;11,042;0,703;-0,949
"peça";0,685;0,038;-1,608;11,733;-2,478;-2,315
"parar";-4,663;-0,28;-3,63;36,667;-4,83;0,532
"mãe";-4,663;-2,706;-3,63;118,167;-6,981;-4,605
"mello";-0,144;0,279;-0,244;1,753;0,244;-2,141
"mala";-1,396;76,343;-5,592;-5,326;-5,103;-4,231
"japonês";-5,798;-9,644;-8,963;-6,335;-5,998;172,014
"indicação";-0,115;12,164;-4,004;-3,737;6,666;-4,855
"habeas";265,622;-11,301;-8,588;-8,179;-7,836;-9,883
"fraco";-6,634;94,427;-2,03;-3,168;-6,81;-8,589
"formar";-0,059;-0,135;-0,241;7,578;0,025;-2,659
"estratégico";-7,301;-6,522;-4,14;-5,637;-2,104;116,714
"afastar";0,337;-2,425;4,87;-6,039;2,242;0
"áudio";0,007;53,02;-7,651;-0,005;-6,981;-8,804
"rejeitar";22,425;-6,197;-2,798;-4,251;7,509;-0,347
"proteger";-7,467;-5,071;-0,187;0,009;0,04;26,264
"prerrogativa";11,621;-8,077;0,166;-1,234;11,087;-5,79
"preocupado";-5,148;-0,002;6,432;1,013;0,071;-2,215
"pec";-4,663;-12,282;-5,455;-3,327;190,444;-8,804
"morador";-3,975;-4,811;8,67;17,849;-2,072;-1,43
"modelo";-3,7;-1,5;12,246;0,676;-0,267;-0,269
"matéria";-0,002;-0,467;-3,969;10,368;4,275;-5,004
"marqueteiro";-7,634;154,833;-8,588;-8,179;-7,836;-9,883
"jovem";-6,634;-7,335;-0,014;63,514;-0,656;-1,607
"indústria";0,168;0,398;-1,235;-0,143;0,136;0
"entidade";2,685;1,814;0,642;-4,081;-3,91;-0,001
"entendimento";73,229;-13,184;0,002;-3,809;-0,027;-3,552
"determinado";19,237;-1,5;6,594;-6,217;-0,996;-3,43
"criação";-0,609;0,074;3,765;-5,682;7,261;-2,859
"construção";-4,307;7,907;-0,002;-1,101;0,016;-0,09
"constitucional";-4,986;-10,408;72,518;-7,644;8,617;-6,959
"cenário";-4,986;-10,408;9,312;-0,394;11,353;0,029
"américa";-6,634;-2,492;11,346;-1,787;-6,81;20,733
"ambiente";-2,909;-8,977;44,723;-0,069;0,114;-2,487
"vara";134,3;-0,159;-4,14;-7,822;-7,494;-9,451
"punição";7,176;-5,976;-1,207;0,53;1,632;-0,323
"multa";12,711;17,391;-0,453;-5,289;-4,996;-9,02
"léo";5,483;4,128;-1,861;-1,772;-0,164;-2,141
"juízo";124,45;-1,249;-6,004;-2,338;-5,329;-9,451
"hospital";-0,57;-0,407;0,642;10,468;-0,627;-2,798
"escândalo";-3,541;6,38;13,136;-2,239;-0,887;-5,064
"escola";-3,643;-2,403;14,793;7,844;-1,763;-2,597
"droga";-1,244;-1,668;1,631;10,911;-1,31;-0,66
"divulgação";1,562;10,352;-2,157;-5,682;0,033;-1,504
"dirigir";-0,346;-3,107;3,621;6,27;-1,224;-0,432
"correr";2,071;-8,977;-0,733;11,011;-0,033;-0,019
"corpus";259,523;-11,003;-8,4;-8,001;-7,665;-9,667
"ciro";-2,927;-5,706;-2,175;-7,287;144,542;-8,804
"bernardo";0,011;36,805;-3,725;-1,581;-3,399;-4,286
"atitude";-3,222;-10,408;9,312;2,28;-0,01;0,944
"regional";2,754;-0,059;-0,007;-5,86;-0,782;3,667
"perda";-0,57;-4,522;0,642;-0,072;7,647;-0,001
"oportunidade";-0,018;-4,524;-0,733;34,523;-0,033;-4,231
"mensalão";29,26;-1,115;-0,183;-0,106;-0,056;-8,158
"expor";-0,164;-2,425;25,42;-0,286;-0,887;-1,819
"encaminhar";6,788;-2,624;-0,625;-0,035;4,015;-2,304
"derrubar";-3,477;-0,899;8,003;-3,725;-0,001;3,578
"comunidade";-4,639;-8,377;0,101;0,897;-2,705;30,208
"completo";-1,125;1,874;5,55;-1,396;-1,224;-0,432
"carl";-7,634;-13,786;-6,371;-5,986;-7,836;193,787
"bandido";-2,349;3,098;0,008;23,111;-6,298;-7,942
"ativo";25,771;-0,96;-0,664;-4,423;-4,169;1,149
"terça";0,875;-1,493;-4,471;-4,258;30,523;-0,435
"relato";-4,019;32,202;-1,608;-0,068;-1,224;-3,817
"rei";-0,432;27,676;-0,733;0,062;-5,103;-6,436
"procuradoria_geral";-0,902;31,497;-1,256;-2,556;-0,185;-5,575
"máximo";-0,014;-6,48;0,008;0,437;0,088;3,75
"matar";-4,019;-8,627;-0,664;0,04;-1,224;44,772
"ligado";0,419;7,045;-0,426;-1,234;-0,251;-1,945
"indevido";2,042;70,515;-7,651;-7,287;-6,981;-8,804
"identificar";-0,518;1,512;-5,779;2,82;0,066;-0,048
"franco";-4,805;5,561;-5,405;-0,502;21,569;-4,024
"execução";189,174;-10,705;-1,449;-7,822;-5,329;-9,451
"eunício";-6,302;-3,343;-7,089;-2,853;149,466;-8,158
"desviar";-0,033;22,453;-0,765;-4,596;-1,343;-1,323
"criança";-0,352;-8,677;-0,625;25,137;-4,932;3,604
"crer";-0,093;-7,335;59,687;-0,798;-1,588;-4,406
"conter";-1,354;0,603;-0,869;-1,654;-1,464;11,711
"certeza";-1,354;-2,283;15,379;5,309;-2,774;-2,659
"celso";1,541;0,037;-0,122;-0,081;1,424;-3,428
"auto";65,377;1,171;-4,545;-2,543;-6,127;-7,727
"alertar";-6,135;-1,881;-2,962;-0,52;-1,224;50,744
"vizinho";-3,975;-7,178;-2,41;-0,122;-2,072;62,767
"vinson";-7,301;-13,184;-8,213;-7,822;-7,494;206,554
"tropa";-3,7;-8,035;-2,635;-1,15;-2,187;77,673
"trocar";-4,639;22,582;-5,218;0,897;-1,226;-0,923
"the";-1,593;-9,813;10,626;-0,9;-4,83;19,584
"suíço";-6,135;91,952;-4,727;-4,423;-2,478;-7,942
"surgir";-3,074;-5,976;75,39;-5,289;-1,842;-0,323
"seguida";4,294;-4,251;0,054;-3,058;0,898;0,851
"repasse";-1,526;79,656;-3,645;-5,504;-5,274;-6,651
"reagir";-0,495;-3,581;-0,869;0,259;-2,774;21,953
"queda";-0,056;-4,811;0,018;35,282;-4,08;-1,43
"ptb";-0,518;-4,8;-3,645;13,631;18,872;-6,651
"procedimento";18,31;-0,69;-1,117;1,574;-0,854;-5,36
"princípio";2,042;-12,282;57,212;-7,287;-1,714;-0,835
"perrella";-4,141;23,82;-0,256;1,574;-4,25;-5,36
"negativo";0,183;0,083;0,027;0,075;-4,005;0,527
"moreira";-0,024;3,396;-4,284;-2,062;15,609;-4,931
"medo";-1,526;-3,109;-0,181;13,631;-0,584;0,527
"jogar";-5,304;-0,325;11,568;9,39;-1,763;-4,647
"favorável";-0,059;-2,283;-5,09;-4,768;69,849;-2,659
"estimar";-0,005;4,003;-0,723;-1,9;-3,739;3,061
"dividir";-6,302;-0,448;12,929;-1,524;4,293;-1,323
"disposição";0,821;14,461;-2,322;-0,019;-7,152;-0,949
"código";54,975;-3,823;0,101;-1,787;-1,588;-6,325
"conteúdo";0,081;26,263;0;-4,596;-1,343;-8,158
"constar";0,684;30,302;-2,001;-1,795;-3,188;-6,651
"cabeça";-5,47;-0,059;-2,315;23,963;0,011;-0,69
"vivo";-0,219;2,535;-1,34;17,12;-3,84;-5,273
"visão";-0,908;-5,915;33,965;-0,359;-0,267;-0,928
"veículo";-0,57;-0,02;-0,849;-2,062;-1,917;18,957
"terra";-4,307;-7,777;-0,337;15,165;-2,387;10,942
"punir";0,081;-11,38;33,998;-1,524;0,051;-1,323
"presídio";46,15;-0,542;-4,471;-0,847;-0,078;-5,145
"prejudicar";0,337;-3,863;-1,211;0,181;1,019;1,84
"mesa";-0,577;-5,437;-0,978;-0,203;2,072;10,93
"liberar";-1,268;29,725;-3,289;-1,509;-1,357;-1,061
"familiar";1,212;4,216;0,703;-1,37;-2,705;-2,124
"erro";-4,019;-4,641;17,37;-0,068;1,518;-0,432
"episódio";-0,164;1,692;9,934;-0,003;-3,677;-5,064
"emitir";4,778;-0,417;-0,523;-4,97;-0,325;4,078
"decreto";-1,125;-6,48;-1,608;-6,573;122,188;-7,942
"concessão";35,796;-0,038;-1,546;-4,97;-0,325;-2,124
"antônio";-0,003;61,278;-4,545;-6,395;-2,332;-7,727
"alerta";-3,541;-2,425;-2,474;-1,032;-0,887;45,788
"alegação";85,211;-0,005;-5,272;-4,942;-6,81;-2,834
"adquirir";-0,037;1,908;-0,122;-0,081;-0,88;0,014
"zanin";125,745;-0,96;-6,901;-2,698;-6,298;-7,942
"virar";-1,93;2,921;0,1;10,95;-2,044;-7,296
"sustentar";13,728;-0,126;0,002;0,018;-4,25;-1,598
"recibo";15,125;5,577;-3,165;-1,118;-2,888;-3,642
"qualidade";-1,388;-0,101;8,971;3,509;-3,399;-2,199
"ouvido";2,284;3,277;-5,272;0,19;0,008;-2,834
"italiano";-3,859;29,671;1,172;-0,437;-4,005;-7,727
"internet";-1,125;-1,881;17,37;1,258;-0,408;-3,817
"fácil";-5,969;-6,197;2,377;34,549;0,137;-5,483
"faltar";-0,418;1,593;-0,183;8,163;-0,056;-8,158
"esposo";0,875;0,055;-2,41;9,495;-0,738;-3
"elemento";7,685;-5,077;11,568;-0,806;-3,351;-0,58
"doleiro";-6,468;122,595;-7,276;-4,768;-6,639;-8,373
"distrito";3,105;-2,403;-4,098;-1,9;28,511;-2,597
"defensor";29,26;-3,343;0;-4,596;1,32;-4,012
"colaborar";-2,208;55,223;0,027;-6,395;-4,005;-7,727
"cobrar";-1,982;0,055;-0,183;6,299;0,091;-1,43
"cassação";110,959;-6,764;-4,908;-2,853;-0,056;-8,158
"uss";-6,135;-11,079;-6,901;-6,573;-6,298;173,578
"residência";-0,082;40,962;-3,165;-3,014;-2,888;-3,642
"receita";1,223;5,577;-0,197;-0,143;-1,02;-3,642
"provável";-0,908;-2,648;-2,635;-0,016;0,198;15,406
"obrigar";1,562;-1,992;2,112;4,3;-5,444;-0,58
"legislação";1,345;0,03;5,36;-5,86;2,533;-7,081
"escolha";-0,352;-2,624;7,783;-0,502;0,898;-0,294
"eleitor";-5,969;-8,331;0,389;20,041;13,605;-7,727
"disputar";-0,093;-9,516;-7,463;-1,787;128,524;-8,589
"conduta";25,771;-0,346;0,008;-0,52;-0,408;-7,942
"bancário";-4,141;59,85;-1,117;-4,436;-4,25;-3,203
"aposentadoria";0,875;-2,916;-0,981;-0,847;24,447;-3
"verificar";20,427;-0,11;-2,474;0,821;-3,677;-1,819
"torno";-0,432;-0,151;-1,847;-0,069;0,734;3,176
"tillerson";-6,634;-11,981;-7,463;-4,942;-6,81;176,486
"suspensão";80,125;-5,635;-6,34;-6,039;0,272;-1,819
"subir";-2,287;-3,442;0,249;1,317;0,47;1,553
"serra";-4,971;7,04;-3,467;0,062;11,921;-6,436
"respeitar";-2,909;-8,977;17,414;7,878;-1,49;-0,381
"pobre";-3,975;-7,178;0,484;50,172;-2,072;-1,43
"perceber";-1,238;-8,923;-0,183;48,284;-0,486;-1,323
"partidário";0,097;-3,109;1,122;-0,111;14,695;-6,651
"norte_coreanos";-6,968;-12,582;-7,838;-5,289;-7,152;185,898
"norma";-2,596;-2,387;-0,041;-0,411;2,496;6,331
"nobre";-5,969;-0,255;-2,798;-0,037;63,292;-7,727
"município";0,279;-0,953;-1,861;1,753;5,249;-2,141
"municipal";-1,534;-0,899;-1,896;-1,74;54,997;-4,501
"idade";-2,596;-8,377;-3,111;32,617;2,496;-0,215
"histórico";-0,609;-9,578;46,377;-3,566;-0,68;0,028
"hipótese";6,503;-5,635;0,1;-2,239;19,575;-7,296
"fronteira";-4,34;-9,219;0,153;-1,654;-6,639;71,824
"externo";-0,705;-3,609;26,963;-2,089;-0,782;0,007
"entrega";-1,396;48,987;-1,847;-1,651;-5,103;-4,231
"ditador";-6,302;-8,923;-4,908;-1,524;-6,469;125,881
"df";1,986;-0,69;0,002;-0,972;9,341;-5,36
"dano";48,509;-1,881;-1,608;-1,396;-2,478;-1,186
"circunstância";0,183;-4,379;4,004;-0,437;0,137;0,083
"chance";-1,93;-3,863;-1,211;-0,286;15,496;1,84
"br";-3,975;-0,542;1,583;17,849;-0,078;-5,145
"barroso";21,262;-4,183;-2,606;-0,684;5,088;-2,999
"autor";7,685;-9,578;11,568;-1,941;-0,68;-0,088
"vice";-0,164;-5,635;-0,024;-0,286;40,649;-5,064
"velho";-3,7;0;-0,479;30,897;-0,996;-3,43
"reiterar";-0,115;0,03;-0,316;-2,089;-3,513;14,029
"página";0,253;2,535;0,057;5,031;-5,956;-5,273
"provar";2,701;4,216;0,703;-2,89;-2,705;-2,124
"protocolar";40,002;0,48;-5,966;-1,941;-0,104;-6,866
"pronunciamento";-4,639;2,571;0,703;-0,411;4,482;-3,818
"posto";-0,676;-1,493;-2,41;3,756;4,172;-0,015
"pleno";0,008;-5,635;13,136;-2,239;-2,044;3,266
"planejar";-1,125;-8,627;-1,608;-0,52;-4,169;63,807
"operador";-5,47;102,381;-6,153;-5,86;-5,615;-4,855
"lutar";-3,7;-10,478;0,497;21,263;-0,996;1,584
"integrar";7,443;0,496;-0,523;-1,37;1,086;-6,005
"importar";-1,534;-3,946;8,003;-0,009;-1,61;3,578
"expectativa";-0,375;-0,184;4,965;-0,009;-0,001;-0,95
"ex_diretor";-3,541;97,517;-4,184;-6,039;-5,786;-7,296
"dirigente";-0,042;6,31;-2,001;-1,795;0,066;-0,048
"deus";-3,7;-8,035;0,497;36,387;-0,267;-0,928
"casal";2,369;34,74;-5,405;-1,509;-4,932;-6,22
"carro";-0,082;-0,274;-0,197;5,466;-0,103;-0,402
"bastar";0,564;-6,764;-3,127;42,173;-0,486;-2,486
"apuração";21,011;0,231;0,426;-1,651;-3,027;-6,436
"alcançar";-2,909;-6,562;-0,125;-1,651;-1,49;49,853
"absolver";147,812;-3,107;-4,727;-6,573;-4,169;-7,942
"viajar";-4,971;-2,864;2,751;18,846;-5,103;0,117
"técnico";-0,024;0,126;-0,121;0,1;0,155;-0,333
"sério";-0,277;-8,377;25,027;-0,013;-2,705;0,28
"século";-4,805;-8,677;143,915;-3,058;-4,932;-6,22
"sindical";-2,151;-0,424;2,244;0,658;2,778;-2,784
"sigla";-5,47;-2,206;-1,085;-2,089;12,76;8,01
"repetir";-3,541;-1,32;4,87;5,513;0,272;-3,238
"praça";-1,985;0,028;0,791;0,933;0,045;-0,714
"pmdb_rj";-0,164;61,365;-2,474;-6,039;-3,677;-7,296
"planejamento";-0,037;0,619;1,054;-2,837;3,625;-3,428
"paulista";1,924;-0,075;-0,062;-2,659;7,877;-3,213
"organizar";-1,396;-2,864;10,031;0,062;3,591;-4,231
"norte_americano";-6,468;-7,049;-3,294;-4,768;-4,499;121,027
"moção";-2,979;-5,38;-0,284;-1,269;68,898;-3,857
"mentira";-3,066;0,643;-2,001;32,543;-1,625;-4,439
"localizar";-1,02;9,686;-0,015;-4,792;-4,591;2,689
"ligação";-4,307;36,954;-2,759;-0,25;-0,975;-3,407
"levantar";-4,971;0,002;-0,125;7,878;0,734;-1,204
"errado";-5,969;-2,876;0,389;40,257;-0,335;-3,623
"entrada";0,016;-0,424;0,54;-0,55;0,772;-0,045
"emilio";-2,208;96,279;-6,714;-4,251;-6,127;-7,727
"descobrir";-3,541;4,484;0,623;10,95;-5,786;-5,064
"cristiano";141,948;-1,687;-6,714;-4,251;-6,127;-7,727
"comparar";0;-0,417;0,703;0,897;0,255;-2,124
"castro";0,418;-0,075;-0,922;1,589;0,366;-1,242
"caro";-4,805;-0,541;-3,289;36,651;0,898;-4,024
"bloqueio";13,728;8,862;-2,584;-4,436;-2,229;-3,203
"analista";-5,969;-8,331;-0,087;-2,543;-6,127;90,051
"wesley";-5,636;105,748;-6,34;-3,908;-5,786;-7,296
"venezuela";-5,47;-9,878;0,768;86,207;-1,902;-7,081
"republicano";-3,541;-3,863;16,784;-2,239;0,001;1,84
"renda";0,279;1,638;-1,861;0,193;-0,164;-0,401
"relacionar";0,558;0,558;-0,488;-1,581;1,781;-0,802
"reação";-1,125;-6,48;7,889;-0,52;-0,029;3,75
"pasta";-1,388;5,488;-0,007;0,386;0,004;-4,286
"morar";-0,375;-0,899;-1,896;43,888;-1,61;-4,501
"mencionar";0,055;13,238;-2,157;-0,806;-5,444;0,028
"martins";108,753;-2,425;-6,34;-2,239;-2,044;-7,296
"legenda";0;-0,176;-4,364;-4,079;51,497;-5,273
"instalação";-1,985;-3,585;-0,49;-2,127;-2,038;45,374
"indicado";-5,137;25,778;-3,645;-0,111;0,591;-4,439
"grosso";-2,482;27,591;-0,062;-0,824;-2,548;-3,213
"friboi";-2,909;61,91;-1,847;-1,651;-5,103;-6,436
"frederico";1,082;28,259;-4,284;-0,726;-3,91;-4,931
"frança";-5,47;-1,147;3,369;-5,86;-0,782;21,722
"ex_assessor";-0,828;30,737;-2,978;-2,837;-2,718;-0,29
"envolvimento";1,212;18,51;-3,111;-1,37;-4,762;-0,923
"curso";0,011;-3,66;17,863;-0,398;-0,328;-0,802
"contribuir";-0,056;-0,063;8,67;3,756;-4,08;-5,145
"combater";-1,396;-2,864;13,47;-0,598;-0,492;0,676
"cliente";2,701;22,582;-5,218;-2,89;-0,325;-6,005
"asiático";-5,636;-5,635;-6,34;-3,908;-5,786;127,129
"alegre";82,877;-6,578;-0,069;-3,903;-1,763;-4,716
"afirmação";0,312;8,72;-0,523;-1,37;-2,705;-0,215
"absoluto";0,097;0,643;1,122;-0,7;-0,584;-0,477
"transferir";8,915;4,003;-0,723;-3,903;-1,763;-1,105
"tom";0;-4,12;-2,635;-0,016;0,198;12,115
"tiro";-3,145;-5,68;0,417;7,08;0,659;0,154
"submarino";-5,47;-7,445;-2,315;-2,089;-5,615;103,063
"redução";0,739;-0,04;0,417;-3,37;4,477;-2,003
"realização";-0,21;-0,009;-1,4;-2,723;19,574;-0,79
"realidade";-0,705;-5,355;37,843;-0,221;-3,513;-0,139
"pronunciar";3,453;2,746;-3,645;-3,396;3,205;-2,672
"planilha";-5,47;102,381;-6,153;-5,86;-3,513;-7,081
"ordenar";-0,018;-8,977;-1,847;-1,651;-3,027;56,86
"norte_coreana";-6,302;-8,923;-7,089;-6,752;-6,469;167,078
"marinho";-0,164;-10,178;-1,211;-2,239;-0,206;45,788
"liderar";-4,639;-2,387;-0,523;-4,97;4,482;20,275
"interrogatório";81,033;0,022;-3,289;-5,148;-4,932;-6,22
"insistir";0,026;-5,355;-0,007;-2,089;0,011;14,029
"inimigo";-1,93;-7,74;1,592;-1,032;-3,677;34,398
"imaginar";-1,02;-5,684;0,166;34,772;-2,546;-0,79
"igual";-3,541;-10,178;13,136;18,234;-0,887;-1,819
"gomes";-0,518;-4,8;-2,001;-3,396;89,348;-6,651
"francisco";0,009;0,133;-2,935;28,705;-2,546;-5,79
"financiar";-2,752;17,025;-0,078;0,726;-2,866;-4,024
"específico";-0,004;0,348;0,553;0,11;-1,357;-0,294
"esforço";-3,224;-9,578;5,892;-0,162;-0,104;11,7
"equipamento";-0,098;-0,69;0,002;-2,39;-0,854;12,012
"eleito";-1,93;-7,74;-0,024;-3,908;95,854;-7,296
"eldorado";-1,102;24,699;-3,351;-1,269;0,068;-3,857
"canal";-5,636;-0,548;0,1;-0,286;-0,887;16,496
"benjamin";153,713;-5,635;-6,34;-3,908;-5,786;-5,064
"andré";2,172;12,992;-6,527;-4,079;3,561;-7,512
"andrea";-0,45;27,934;-2,419;-0,55;-2,208;-2,784
"4a";203,364;-6,764;-7,089;-6,752;-6,469;-8,158
"vencer";0,551;0,074;-0,245;-0,162;1,407;-1,504
"vaga";-0,469;-0,001;-2,066;-1,9;35,351;-4,716
"toffoli";0,145;-3,286;-0,361;13,448;0,12;-2,355
"souza";-1,143;49,014;-3,111;-4,97;-0,325;-6,005
"ruim";-5,304;-7,15;15,118;2,491;1,407;-1,504
"rico";-3,975;-2,916;8,67;13,345;-2,072;-1,43
"renúncia";-1,02;-3,709;-0,015;-0,327;43,735;-5,79
"pôr";-3,7;-4,12;6,594;0,676;-0,001;0,663
"porta_voz";-3,7;-5,915;-2,635;-6,217;-3,84;102,949
